Name,AI keywords,AI summary,Date,Day,Event Description,Location(s) (links),Month,Year (AC)
Hawksreach Founding,,,,1,The settlement that would become Hawksreach begins as Ultark's mountain village base during his early campaigns.,"Hawksreach (https://www.notion.so/1d8c7339ad05800ab67ce21a7b660b04?pvs=21) Ilkazan (https://www.notion.so/19dc7339ad0580fb8c6dce6c94b6fdd8?pvs=21) ",(1) Cometfall (Winter),8
Establishment of the Varian Dynasty,,,,1,"The settlement gains prominence as Ultark establishes the Varian Dynasty, marking it as an important administrative center.","Hawksreach (https://www.notion.so/1d8c7339ad05800ab67ce21a7b660b04?pvs=21) Ilkazan (https://www.notion.so/19dc7339ad0580fb8c6dce6c94b6fdd8?pvs=21) ",(1) Cometfall (Winter),33
Prospering of Hawksreach,,,,1,"Under King Sebastian's reign, the village transforms into a proper capital city. Major infrastructure projects begin, including:
• Initial mining operations established
• Construction of the First Forge (now preserved as a shrine)
• Development of the first city districts","Hawksreach (https://www.notion.so/1d8c7339ad05800ab67ce21a7b660b04?pvs=21) ",(1) Cometfall (Winter),48-93
The Miners' Rebellion,,,,1,A significant uprising occurs when mining guilds protest against harsh working conditions. Sebastian responds by implementing worker protection laws and establishing the Engineers' Exchange to improve mining safety.,,(1) Cometfall (Winter),85-86
Corvid Alliance,,,,1,,,(1) Cometfall (Winter),146-148
Formal establishment of Royal Corvid Corp,,,,1,"Formal establishment of the Royal Corvid Corp in Hawksreach. In the following ~12 years, Development period of the Corp, including establishment of training protocols and breeding programs.","Hawksreach (https://www.notion.so/1d8c7339ad05800ab67ce21a7b660b04?pvs=21) ",(1) Cometfall (Winter),148
Corvid Rookery,,,,16,"Completion of the massive Corvid rookery in the Summit District, becoming one of the city's most distinctive features.","Hawksreach (https://www.notion.so/1d8c7339ad05800ab67ce21a7b660b04?pvs=21) ",(4) Umbasa (Spring),180
Golden Age of Hawksreach,,,,1,"During Magnus's reign, Hawksreach enters its golden age, with significant expansion of the Scholar's Terrace and Merchant's Ring.","Hawksreach (https://www.notion.so/1d8c7339ad05800ab67ce21a7b660b04?pvs=21) ",(1) Cometfall (Winter),168-218
Campaign 1 Start (Alexander),,,,2,The group meet in the Drunken Barnacle,"The Drunken Barnacle (https://www.notion.so/1dac7339ad058049b878e58b5488b06c?pvs=21) Nidum (https://www.notion.so/19dc7339ad0580caa4e3c9f4df3b360a?pvs=21) ",(3) Sprouting (Spring),333
‘Man In White’ coup stopped,,,,1,The coup to overthrow Nidum that was attempted by the Man In White (https://www.notion.so/23dc7339ad0580e18cbceb72ee0a9cd7?pvs=21) was stopped,"Nidum (https://www.notion.so/19dc7339ad0580caa4e3c9f4df3b360a?pvs=21) ",(2) Dewdrop (Spring),6
Keepers officially created,,,,1,"The Keepers are created to watch over Nidum, protect its people, and allow its citizens to thrive","Nidum (https://www.notion.so/19dc7339ad0580caa4e3c9f4df3b360a?pvs=21) ",(4) Umbasa (Spring),7
Hand Elected to rule Nidum,,,,13,,Nidum,(1) Cometfall (Winter),-3
First Shadowspawn War,,,,1,,"Ilkazan (https://www.notion.so/19dc7339ad0580fb8c6dce6c94b6fdd8?pvs=21) Hawksreach (https://www.notion.so/1d8c7339ad05800ab67ce21a7b660b04?pvs=21) ",(1) Cometfall (Winter),71-74
Second Shadowspawn war,,,,19,,,(11) Frostfall (Winter),99-101
"Third Shadowspawn War ",,,,26,"This war was one of the most dangerous, as a new type of creature - charged with necrotic light - took defenders by surprise. The country was saved only by the intervention of giant Corvids, who made an alliance with Queen Isabella","Ilkazan (https://www.notion.so/19dc7339ad0580fb8c6dce6c94b6fdd8?pvs=21) Hawksreach (https://www.notion.so/1d8c7339ad05800ab67ce21a7b660b04?pvs=21) ",(12) Frostmarch (Winter),146-148
Fourth Shadowspawn War,,,,,"Notable for being shorter than previous conflicts, demonstrating Ilkazan's improved military capabilities.",,,218-231
Kells is Killed,,,,,,Nidum,(11) Frostfall (Winter),82
Quinn Thea (https://www.notion.so/1f6c7339ad0580398e39ec529a21355f?pvs=21) annointed to the Hand,,,,22,,Nidum,(10) Char (Autumn),271
Rhendron Stonespine (https://www.notion.so/1f6c7339ad058072a277cc48ba734587?pvs=21) annoited to the Hand,,,,18,,Nidum,(5) Awakening (Summer),309
Paige Jare (https://www.notion.so/1f6c7339ad0580bcb34efee3d37982df?pvs=21) annointed to the Hand,,,,9,,"Nidum (https://www.notion.so/19dc7339ad0580caa4e3c9f4df3b360a?pvs=21) ",(7) Surtur (Summer),307
Maglocunus (https://www.notion.so/1f6c7339ad0580ebb251e4d026da765c?pvs=21) annoited to the Hand,,,,28,,Nidum,(9) Senescence (Autumn),89
The Seal Codex is damaged,,,,14,,Nidum,(12) Frostmarch (Winter),147
Silver Wars,,,,19,,Nidum,(6) Highsummer (Summer),301
"Public Exile of Seren Wixwraith (https://www.notion.so/1eec7339ad0580bfbf2ae926e5772277?pvs=21) ",,,,16,,Nidum,(2) Dewdrop (Spring),333
Ring finger - Aidan Stonespine - annointed to the hand,,,,12,"Aidan 29 yo goliath ",,(8) Harvestfall (Autumn),174
