Name,Year (AC),Month,Event Description
Hand Elected to rule Nidum,-3,(1) Cometfall (Winter),
‘Man In White’ coup stopped,6,(2) Dewdrop (Spring),The coup to overthrow Nidum that was attempted by the Man In White (https://www.notion.so/23dc7339ad0580e18cbceb72ee0a9cd7?pvs=21) was stopped
Keepers officially created,7,(4) Umbasa (Spring),"The Keepers are created to watch over Nidum, protect its people, and allow its citizens to thrive"
Kells is Killed,82,(11) Frostfall (Winter),
Maglocunus (../Non%20Player%20Characters%20(NPCs)/The%20Hand/Maglocunus%201f6c7339ad0580ebb251e4d026da765c.md) annoited to the Hand,89,(9) Senescence (Autumn),
The Seal Codex is damaged,147,(12) Frostmarch (Winter),
Quinn Thea (../Non%20Player%20Characters%20(NPCs)/The%20Hand/Quinn%20Thea%201f6c7339ad0580398e39ec529a21355f.md) annointed to the Hand,271,(10) Char (Autumn),
Silver Wars,301,(6) Highsummer (Summer),
Paige Jare (../Non%20Player%20Characters%20(NPCs)/The%20Hand/Paige%20Jare%201f6c7339ad0580bcb34efee3d37982df.md) annointed to the Hand,307,(7) Surtur (Summer),
Rhendron Stonespine (../Non%20Player%20Characters%20(NPCs)/The%20Hand/Rhendron%20Stonespine%201f6c7339ad058072a277cc48ba734587.md) annoited to the Hand,309,(5) Awakening (Summer),
"Public Exile of Seren Wixwraith (https://www.notion.so/1eec7339ad0580bfbf2ae926e5772277?pvs=21) ",333,(2) Dewdrop (Spring),
Campaign 1 Start (Alexander),333,(3) Sprouting (Spring),The group meet in the Drunken Barnacle
