Year (AC),Month,Day,Name,Event Description,Location(s) (links)
-3,(1) Cometfall (Winter),13,Hand Elected to rule Nidum,,Nidum
6,(2) Dewdrop (Spring),1,‘Man In White’ coup stopped,The coup to overthrow Nidum that was attempted by the Man In White (https://www.notion.so/23dc7339ad0580e18cbceb72ee0a9cd7?pvs=21) was stopped,"Nidum (https://www.notion.so/19dc7339ad0580caa4e3c9f4df3b360a?pvs=21) "
7,(4) Umbasa (Spring),1,Keepers officially created,"The Keepers are created to watch over Nidum, protect its people, and allow its citizens to thrive","Nidum (https://www.notion.so/19dc7339ad0580caa4e3c9f4df3b360a?pvs=21) "
8,(1) Cometfall (Winter),1,Hawksreach Founding,The settlement that would become Hawksreach begins as Ultark's mountain village base during his early campaigns.,"Hawksreach (https://www.notion.so/1d8c7339ad05800ab67ce21a7b660b04?pvs=21) Ilkazan (https://www.notion.so/19dc7339ad0580fb8c6dce6c94b6fdd8?pvs=21) "
33,(1) Cometfall (Winter),1,Establishment of the Varian Dynasty,"The settlement gains prominence as Ultark establishes the Varian Dynasty, marking it as an important administrative center.","Hawksreach (https://www.notion.so/1d8c7339ad05800ab67ce21a7b660b04?pvs=21) Ilkazan (https://www.notion.so/19dc7339ad0580fb8c6dce6c94b6fdd8?pvs=21) "
48-93,(1) Cometfall (Winter),1,Prospering of Hawksreach,"Under King Sebastian's reign, the village transforms into a proper capital city. Major infrastructure projects begin, including:
• Initial mining operations established
• Construction of the First Forge (now preserved as a shrine)
• Development of the first city districts","Hawksreach (https://www.notion.so/1d8c7339ad05800ab67ce21a7b660b04?pvs=21) "
71-74,(1) Cometfall (Winter),1,First Shadowspawn War,,"Ilkazan (https://www.notion.so/19dc7339ad0580fb8c6dce6c94b6fdd8?pvs=21) Hawksreach (https://www.notion.so/1d8c7339ad05800ab67ce21a7b660b04?pvs=21) "
82,(11) Frostfall (Winter),,Kells is Killed,,Nidum
85-86,(1) Cometfall (Winter),1,The Miners' Rebellion,A significant uprising occurs when mining guilds protest against harsh working conditions. Sebastian responds by implementing worker protection laws and establishing the Engineers' Exchange to improve mining safety.,
89,(9) Senescence (Autumn),28,Maglocunus (https://www.notion.so/1f6c7339ad0580ebb251e4d026da765c?pvs=21) annoited to the Hand,,Nidum
99-101,(11) Frostfall (Winter),19,Second Shadowspawn war,,
146-148,(12) Frostmarch (Winter),26,"Third Shadowspawn War ","This war was one of the most dangerous, as a new type of creature - charged with necrotic light - took defenders by surprise. The country was saved only by the intervention of giant Corvids, who made an alliance with Queen Isabella","Ilkazan (https://www.notion.so/19dc7339ad0580fb8c6dce6c94b6fdd8?pvs=21) Hawksreach (https://www.notion.so/1d8c7339ad05800ab67ce21a7b660b04?pvs=21) "
146-148,(1) Cometfall (Winter),1,Corvid Alliance,,
147,(12) Frostmarch (Winter),14,The Seal Codex is damaged,,Nidum
148,(1) Cometfall (Winter),1,Formal establishment of Royal Corvid Corp,"Formal establishment of the Royal Corvid Corp in Hawksreach. In the following ~12 years, Development period of the Corp, including establishment of training protocols and breeding programs.","Hawksreach (https://www.notion.so/1d8c7339ad05800ab67ce21a7b660b04?pvs=21) "
168-218,(1) Cometfall (Winter),1,Golden Age of Hawksreach,"During Magnus's reign, Hawksreach enters its golden age, with significant expansion of the Scholar's Terrace and Merchant's Ring.","Hawksreach (https://www.notion.so/1d8c7339ad05800ab67ce21a7b660b04?pvs=21) "
174,(8) Harvestfall (Autumn),12,Ring finger - Aidan Stonespine - annointed to the hand,"Aidan 29 yo goliath ",
180,(4) Umbasa (Spring),16,Corvid Rookery,"Completion of the massive Corvid rookery in the Summit District, becoming one of the city's most distinctive features.","Hawksreach (https://www.notion.so/1d8c7339ad05800ab67ce21a7b660b04?pvs=21) "
218-231,,,Fourth Shadowspawn War,"Notable for being shorter than previous conflicts, demonstrating Ilkazan's improved military capabilities.",
271,(10) Char (Autumn),22,Quinn Thea (https://www.notion.so/1f6c7339ad0580398e39ec529a21355f?pvs=21) annointed to the Hand,,Nidum
301,(6) Highsummer (Summer),19,Silver Wars,,Nidum
307,(7) Surtur (Summer),9,Paige Jare (https://www.notion.so/1f6c7339ad0580bcb34efee3d37982df?pvs=21) annointed to the Hand,,"Nidum (https://www.notion.so/19dc7339ad0580caa4e3c9f4df3b360a?pvs=21) "
309,(5) Awakening (Summer),18,Rhendron Stonespine (https://www.notion.so/1f6c7339ad058072a277cc48ba734587?pvs=21) annoited to the Hand,,Nidum
333,(3) Sprouting (Spring),2,Campaign 1 Start (Alexander),The group meet in the Drunken Barnacle,"The Drunken Barnacle (https://www.notion.so/1dac7339ad058049b878e58b5488b06c?pvs=21) Nidum (https://www.notion.so/19dc7339ad0580caa4e3c9f4df3b360a?pvs=21) "
333,(2) Dewdrop (Spring),16,"Public Exile of Seren Wixwraith (https://www.notion.so/1eec7339ad0580bfbf2ae926e5772277?pvs=21) ",,Nidum
